time,Image,White_Spot_Percentage,Num_White_Spots,eve_ind,reduced_ind,94,131,171,193,211,304,335,1600,1700,bx,by,bz
2018-01-01 00:00:00,20180101T002359.fits.gz,0.003051757813,8,,2137345,2018/AIA/0094/01/01/AIA20180101_0024_0094.npz,2018/AIA/0131/01/01/AIA20180101_0024_0131.npz,2018/AIA/0171/01/01/AIA20180101_0024_0171.npz,2018/AIA/0193/01/01/AIA20180101_0024_0193.npz,2018/AIA/0211/01/01/AIA20180101_0024_0211.npz,2018/AIA/0304/01/01/AIA20180101_0024_0304.npz,2018/AIA/0335/01/01/AIA20180101_0024_0335.npz,2018/AIA/1600/01/01/AIA20180101_0024_1600.npz,2018/AIA/1700/01/01/AIA20180101_0024_1700.npz,2018/HMI/bx/01/01/HMI20180101_0024_bx.npz,2018/HMI/by/01/01/HMI20180101_0024_by.npz,2018/HMI/bz/01/01/HMI20180101_0024_bz.npz
2018-01-01 01:00:00,20180101T012359.fits.gz,0.002670288086,7,,2137345,2018/AIA/0094/01/01/AIA20180101_0124_0094.npz,2018/AIA/0131/01/01/AIA20180101_0124_0131.npz,2018/AIA/0171/01/01/AIA20180101_0124_0171.npz,2018/AIA/0193/01/01/AIA20180101_0124_0193.npz,2018/AIA/0211/01/01/AIA20180101_0124_0211.npz,2018/AIA/0304/01/01/AIA20180101_0124_0304.npz,2018/AIA/0335/01/01/AIA20180101_0124_0335.npz,2018/AIA/1600/01/01/AIA20180101_0124_1600.npz,2018/AIA/1700/01/01/AIA20180101_0124_1700.npz,2018/HMI/bx/01/01/HMI20180101_0124_bx.npz,2018/HMI/by/01/01/HMI20180101_0124_by.npz,2018/HMI/bz/01/01/HMI20180101_0124_bz.npz
2018-01-01 02:00:00,20180101T022359.fits.gz,0.002288818359,6,,2137345,2018/AIA/0094/01/01/AIA20180101_0224_0094.npz,2018/AIA/0131/01/01/AIA20180101_0224_0131.npz,2018/AIA/0171/01/01/AIA20180101_0224_0171.npz,2018/AIA/0193/01/01/AIA20180101_0224_0193.npz,2018/AIA/0211/01/01/AIA20180101_0224_0211.npz,2018/AIA/0304/01/01/AIA20180101_0224_0304.npz,2018/AIA/0335/01/01/AIA20180101_0224_0335.npz,2018/AIA/1600/01/01/AIA20180101_0224_1600.npz,2018/AIA/1700/01/01/AIA20180101_0224_1700.npz,2018/HMI/bx/01/01/HMI20180101_0224_bx.npz,2018/HMI/by/01/01/HMI20180101_0224_by.npz,2018/HMI/bz/01/01/HMI20180101_0224_bz.npz
2018-01-01 03:00:00,20180101T032359.fits.gz,0.00114440918,3,,2137345,2018/AIA/0094/01/01/AIA20180101_0324_0094.npz,2018/AIA/0131/01/01/AIA20180101_0324_0131.npz,2018/AIA/0171/01/01/AIA20180101_0324_0171.npz,2018/AIA/0193/01/01/AIA20180101_0324_0193.npz,2018/AIA/0211/01/01/AIA20180101_0324_0211.npz,2018/AIA/0304/01/01/AIA20180101_0324_0304.npz,2018/AIA/0335/01/01/AIA20180101_0324_0335.npz,2018/AIA/1600/01/01/AIA20180101_0324_1600.npz,2018/AIA/1700/01/01/AIA20180101_0324_1700.npz,2018/HMI/bx/01/01/HMI20180101_0324_bx.npz,2018/HMI/by/01/01/HMI20180101_0324_by.npz,2018/HMI/bz/01/01/HMI20180101_0324_bz.npz
2018-01-01 04:00:00,20180101T042359.fits.gz,0.001907348633,5,,2137345,2018/AIA/0094/01/01/AIA20180101_0424_0094.npz,2018/AIA/0131/01/01/AIA20180101_0424_0131.npz,2018/AIA/0171/01/01/AIA20180101_0424_0171.npz,2018/AIA/0193/01/01/AIA20180101_0424_0193.npz,2018/AIA/0211/01/01/AIA20180101_0424_0211.npz,2018/AIA/0304/01/01/AIA20180101_0424_0304.npz,2018/AIA/0335/01/01/AIA20180101_0424_0335.npz,2018/AIA/1600/01/01/AIA20180101_0424_1600.npz,2018/AIA/1700/01/01/AIA20180101_0424_1700.npz,2018/HMI/bx/01/01/HMI20180101_0424_bx.npz,2018/HMI/by/01/01/HMI20180101_0424_by.npz,2018/HMI/bz/01/01/HMI20180101_0424_bz.npz
2018-01-01 05:00:00,20180101T052359.fits.gz,0.002670288086,7,,2137345,2018/AIA/0094/01/01/AIA20180101_0524_0094.npz,2018/AIA/0131/01/01/AIA20180101_0524_0131.npz,2018/AIA/0171/01/01/AIA20180101_0524_0171.npz,2018/AIA/0193/01/01/AIA20180101_0524_0193.npz,2018/AIA/0211/01/01/AIA20180101_0524_0211.npz,2018/AIA/0304/01/01/AIA20180101_0524_0304.npz,2018/AIA/0335/01/01/AIA20180101_0524_0335.npz,2018/AIA/1600/01/01/AIA20180101_0524_1600.npz,2018/AIA/1700/01/01/AIA20180101_0524_1700.npz,2018/HMI/bx/01/01/HMI20180101_0524_bx.npz,2018/HMI/by/01/01/HMI20180101_0524_by.npz,2018/HMI/bz/01/01/HMI20180101_0524_bz.npz
2018-01-01 06:00:00,20180101T062359.fits.gz,0.001907348633,5,,2137345,2018/AIA/0094/01/01/AIA20180101_0624_0094.npz,2018/AIA/0131/01/01/AIA20180101_0624_0131.npz,2018/AIA/0171/01/01/AIA20180101_0624_0171.npz,2018/AIA/0193/01/01/AIA20180101_0624_0193.npz,2018/AIA/0211/01/01/AIA20180101_0624_0211.npz,2018/AIA/0304/01/01/AIA20180101_0624_0304.npz,2018/AIA/0335/01/01/AIA20180101_0624_0335.npz,2018/AIA/1600/01/01/AIA20180101_0624_1600.npz,2018/AIA/1700/01/01/AIA20180101_0624_1700.npz,2018/HMI/bx/01/01/HMI20180101_0624_bx.npz,2018/HMI/by/01/01/HMI20180101_0624_by.npz,2018/HMI/bz/01/01/HMI20180101_0624_bz.npz
2018-01-01 07:00:00,20180101T072359.fits.gz,0.003051757813,8,,2137345,2018/AIA/0094/01/01/AIA20180101_0724_0094.npz,2018/AIA/0131/01/01/AIA20180101_0724_0131.npz,2018/AIA/0171/01/01/AIA20180101_0724_0171.npz,2018/AIA/0193/01/01/AIA20180101_0724_0193.npz,2018/AIA/0211/01/01/AIA20180101_0724_0211.npz,2018/AIA/0304/01/01/AIA20180101_0724_0304.npz,2018/AIA/0335/01/01/AIA20180101_0724_0335.npz,2018/AIA/1600/01/01/AIA20180101_0724_1600.npz,2018/AIA/1700/01/01/AIA20180101_0724_1700.npz,2018/HMI/bx/01/01/HMI20180101_0724_bx.npz,2018/HMI/by/01/01/HMI20180101_0724_by.npz,2018/HMI/bz/01/01/HMI20180101_0724_bz.npz
2018-01-01 08:00:00,20180101T082359.fits.gz,0.001525878906,4,,2137345,2018/AIA/0094/01/01/AIA20180101_0824_0094.npz,2018/AIA/0131/01/01/AIA20180101_0824_0131.npz,2018/AIA/0171/01/01/AIA20180101_0824_0171.npz,2018/AIA/0193/01/01/AIA20180101_0824_0193.npz,2018/AIA/0211/01/01/AIA20180101_0824_0211.npz,2018/AIA/0304/01/01/AIA20180101_0824_0304.npz,2018/AIA/0335/01/01/AIA20180101_0824_0335.npz,2018/AIA/1600/01/01/AIA20180101_0824_1600.npz,2018/AIA/1700/01/01/AIA20180101_0824_1700.npz,2018/HMI/bx/01/01/HMI20180101_0824_bx.npz,2018/HMI/by/01/01/HMI20180101_0824_by.npz,2018/HMI/bz/01/01/HMI20180101_0824_bz.npz
2018-01-01 09:00:00,20180101T092359.fits.gz,0.001525878906,4,,2137345,2018/AIA/0094/01/01/AIA20180101_0924_0094.npz,2018/AIA/0131/01/01/AIA20180101_0924_0131.npz,2018/AIA/0171/01/01/AIA20180101_0924_0171.npz,2018/AIA/0193/01/01/AIA20180101_0924_0193.npz,2018/AIA/0211/01/01/AIA20180101_0924_0211.npz,2018/AIA/0304/01/01/AIA20180101_0924_0304.npz,2018/AIA/0335/01/01/AIA20180101_0924_0335.npz,2018/AIA/1600/01/01/AIA20180101_0924_1600.npz,2018/AIA/1700/01/01/AIA20180101_0924_1700.npz,2018/HMI/bx/01/01/HMI20180101_0924_bx.npz,2018/HMI/by/01/01/HMI20180101_0924_by.npz,2018/HMI/bz/01/01/HMI20180101_0924_bz.npz
